PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28
Par,Alum Creek State Park DGC,Red Tees ,2022-10-15 14:50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Par,Parchment Valley Winter Lake,Main,2023-07-16 18:45,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Lianne,Parchment Valley Winter Lake,Main,2023-07-16 18:45,32,5,3,3,3,4,4,5,3,3,4,,,,,,,,,,,,,,,,,,,
Lane,Parchment Valley Winter Lake,Main,2023-07-16 18:45,26,-1,2,3,2,2,3,4,4,3,3,,,,,,,,,,,,,,,,,,,
Par,Lake Stephens,Lake Stephens - White Tees,2023-07-15 10:37,60,,3,3,4,3,4,3,4,3,4,3,3,3,4,3,3,3,3,4,,,,,,,,,,
Lane,Lake Stephens,Lake Stephens - White Tees,2023-07-15 10:37,54,-6,3,3,3,2,3,3,5,3,3,3,2,3,5,3,2,3,2,3,,,,,,,,,,
Par,Valley Park,Short Tees,2023-07-12 18:13,58,,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lianne,Valley Park,Short Tees,2023-07-12 18:13,72,14,2,6,5,4,3,3,4,3,3,4,4,4,4,5,3,4,5,6,,,,,,,,,,
Lane,Valley Park,Short Tees,2023-07-12 18:13,55,-3,2,6,3,3,3,3,4,2,2,2,3,3,2,5,3,3,3,3,,,,,,,,,,
Par,Wood County Veterans Memorial Park,Red Tees,2023-07-09 16:49,60,,3,3,4,3,3,3,3,4,3,4,3,4,3,3,3,3,5,3,,,,,,,,,,
Lianne,Wood County Veterans Memorial Park,Red Tees,2023-07-09 16:49,69,15,3,3,7,0,0,4,4,5,3,5,5,4,5,3,4,5,5,4,,,,,,,,,,
Lane,Wood County Veterans Memorial Park,Red Tees,2023-07-09 16:49,62,2,3,4,3,4,3,3,3,4,4,4,3,4,4,3,3,3,4,3,,,,,,,,,,
Par,Cedar Lakes Disc Golf,24 Hole Short Tees,2023-07-05 17:48,77,,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,,,,
Lianne,Cedar Lakes Disc Golf,24 Hole Short Tees,2023-07-05 17:48,46,5,4,3,5,3,4,0,3,0,0,0,0,4,0,3,3,0,0,4,4,4,0,2,0,0,,,,
Lane,Cedar Lakes Disc Golf,24 Hole Short Tees,2023-07-05 17:48,42,-2,3,3,3,3,3,3,3,0,0,0,0,2,0,3,3,0,0,3,3,5,0,2,0,0,,,,
Par,Redeemer - Yellow,Yellow Course,2023-06-25 15:51,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lianne,Redeemer - Yellow,Yellow Course,2023-06-25 15:51,33,9,5,4,5,4,3,3,4,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lane,Redeemer - Yellow,Yellow Course,2023-06-25 15:51,23,-1,2,3,3,3,3,2,3,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Par,Valley Park,Short Tees,2023-06-25 11:59,58,,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lianne,Valley Park,Short Tees,2023-06-25 11:59,72,14,5,5,4,4,5,3,5,3,3,3,3,3,3,7,2,4,5,5,,,,,,,,,,
Lane,Valley Park,Short Tees,2023-06-25 11:59,60,2,3,6,2,2,3,3,3,3,3,3,4,2,4,4,3,3,4,5,,,,,,,,,,
Par,Caesar Ford Park - Championship,White Tees,2023-06-22 11:34,69,,3,4,4,4,3,4,3,5,4,4,4,3,5,3,3,4,4,5,,,,,,,,,,
Lianne,Caesar Ford Park - Championship,White Tees,2023-06-22 11:34,87,18,4,7,4,4,3,6,3,9,4,4,5,3,7,3,3,6,5,7,,,,,,,,,,
Lane,Caesar Ford Park - Championship,White Tees,2023-06-22 11:34,63,-6,3,3,3,3,3,4,3,4,3,4,4,2,5,2,2,5,5,5,,,,,,,,,,
Par,Stonelick,Short Tees,2023-06-21 18:13,57,,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lianne,Stonelick,Short Tees,2023-06-21 18:13,79,22,7,3,6,3,4,5,4,4,3,2,4,4,4,7,5,4,4,6,,,,,,,,,,
